,선명,역명,도로명주소,latlon,name
142,동해,동래,부산광역시 동래구 낙민로 27,"(35.1973205059373, 129.091141148215)",동해 동래
143,동해,망양,울산광역시 울주군 온양읍 망양리 484-1,"(35.4568340815661, 129.287859425669)",동해 망양
144,동해,벡스코,부산광역시 해운대구 해운대로 351,"(35.1715544460081, 129.136096935843)",동해 벡스코
145,동해,부산원동,부산광역시 동래구 안락동52-2,"(35.1938076703922, 129.11346133472)",동해 부산원동
146,동해,부전,부산광역시 부산진구 부전로 181,"(35.1640421327974, 129.060506292678)",동해 부전
147,동해,서생,울산광역시 울주군 서생면 화산발리로 1,"(35.3461267934052, 129.293302611307)",동해 서생
148,동해,센텀,부산광역시 해운대구 해운대로 210,"(35.1794517547326, 129.124592580199)",동해 센텀
149,동해,송정,부산광역시 해운대구 해운대로 1147,"(35.1875566162327, 129.202435814106)",동해 송정
150,동해,신해운대,부산광역시 해운대구 장산로 427,"(35.1816969257961, 129.177032353897)",동해 신해운대
151,동해,안락,부산광역시 동래구 안연로98번길 57,"(35.1960206246922, 129.100549414816)",동해 안락
152,동해,오시리아,부산광역시 기장군 기장읍 동부산관광5로 14,"(35.1962172977472, 129.208261122077)",동해 오시리아
153,동해,월내,부산광역시 기장군 장안읍 해맞이로 351-31,"(35.3279031956242, 129.276513273439)",동해 월내
154,동해,일광,부산광역시 기장군 일광읍 일광로 111-10,"(35.2674453139922, 129.233116919565)",동해 일광
155,동해,재송,부산광역시 해운대구 해운대로 100,"(35.1882250168273, 129.120431001987)",동해 재송
156,동해,좌천,부산광역시 기장군 장안읍 좌천리 239-4,"(35.3117885630404, 129.245153674671)",동해 좌천
157,동해,태화강,울산광역시 남구 산업로 654,"(35.5383548270265, 129.353666998283)",동해 태화강
