,name,address,latlon
151,진영역철도박물관,경상남도 김해시 진영읍 진영로 145-1,"(35.3035578962421, 128.73023477619)"
152,대림미술관,서울특별시 종로구 자하문로4길 21,"(37.5775038838066, 126.973363701206)"
153,대성동고분박물관,경상남도 김해시 가야의길 126,"(35.236133159691, 128.872858180758)"
154,신평생활사박물관,전라북도 임실군 신평면 석등슬치로369,"(35.6570501208647, 127.223672952558)"
155,대전대학교박물관,대전광역시 동구 대학로 62,"(36.336696167799, 127.459001869396)"
156,대전선사박물관,대전광역시 유성구 노은동로 126,"(36.37191134431, 127.323839976888)"
157,가톨릭관동대학교박물관,강원도 강릉시 범일로579번길 24,"(37.7373221158143, 128.873681611316)"
158,영남대학교 박물관,경상북도 경산시 대학로292,"(35.8367414280101, 128.754356926899)"
159,영남대학교 자연박물관,경상북도 경산시 대학로280,"(35.8304916312343, 128.75218013148)"
160,대구한의대학교 박물관,경상북도 경산시 한의대로1,"(35.7940191335145, 128.777349373373)"
161,초콜릿 박물관,제주특별자치도 서귀포시 대정읍 일주서로3000번길 144,"(33.257052827111, 126.229932868924)"
162,곰완구전시관 (테디베어뮤지엄),제주특별자치도 서귀포시 중문관광로110번길 31,"(33.2503032288029, 126.412158843979)"
163,제주4·3 평화기념관,제주특별자치도 제주시 명림로 430,"(33.4498255893617, 126.617747685632)"
164,설문대여성문화센터여성역사문화전시관,제주특별자치도 제주시 선덕로8길 12,"(33.4843969559424, 126.500371293881)"
165,대전시립미술관,대전광역시 서구 둔산대로 155,"(36.3670478671, 127.385726317306)"
166,메이즈 뮤지움,제주특별자치도 제주시 구좌읍 비자림로 2134-47,"(33.4891471622224, 126.801223039785)"
167,제주해양과학관 (아쿠아플라넷),제주특별자치도 서귀포시 성산읍 섭지코지로 93-15,"(33.4345196505906, 126.926028514975)"
168,가회민화박물관,서울특별시 종로구 북촌로 52,"(37.5815093512458, 126.985229239519)"
169,대전시립박물관,대전광역시 유성구 도안대로 398,"(36.3368590295452, 127.335340066386)"
170,대구대학교 중앙박물관,경상북도 경산시 진량읍 대구대로201,"(35.904538973767, 128.842813264293)"
171,대구가톨락대학교 역사박물관,경상북도 경산시 하양읍 하양로13-13,"(35.9091304681441, 128.807584697953)"
172,김종복 미술관,경상북도 경산시 하양읍 하양로13-13,"(35.9091304681441, 128.807584697953)"
173,대한민국술테마박물관,전라북도 완주군 구이면 덕천전원길 232-58,"(35.7260170553946, 127.136162700941)"
174,대한민국역사박물관,서울특별시 종로구 세종대로 198,"(37.5737136067193, 126.978339442463)"
175,이동녕기념관,충청남도 천안시 동남구 목천읍 동리4길 38,"(36.7907151829036, 127.239286812268)"
176,대흥사성보박물관,전라남도 해남군 삼산면 대흥사길 400,"(34.4771463089206, 126.616627540836)"
177,덕소자연사박물관,경기도 남양주시 와부읍 석실로 46-11,"(37.5800124746617, 127.230046130274)"
178,도갑사 성보박물관,전라남도 영암군 군서면 도갑사로 306,"(34.75337646116, 126.662513276964)"
179,일가기념관,경기도 하남시 미사강변남로 10,"(37.5586186305817, 127.183323631114)"
180,도계민화박물관,충청남도 천안시 동남구 정골1길 73-9,"(36.7927962449465, 127.172223556079)"
181,도산안창호기념관,서울특별시 강남구 도산대로45길 20,"(37.5239508648976, 127.035603166151)"
182,금구원 야외조각미술관,전라북도 부안군 변산면 조각공원길 31,"(35.6206340851525, 126.488839911125)"
183,독도박물관,경상북도 울릉군 울릉읍 약수터길 90-17,"(37.4834197306272, 130.900880134754)"
184,독립기념관,충청남도 천안시 동남구 목천읍 독립기념관로 1,"(36.7818719998049, 127.230398111736)"
185,최북미술관,전라북도 무주군 무주읍 최북로 15,"(36.0030332616938, 127.665316364221)"
186,반디랜드 곤충박물관,전라북도 무주군 설천면 무설로 1324,"(36.0122165930135, 127.761344633358)"
187,돌석도예박물관,경기도 안양시 만안구 병목안로 306,"(37.3790468441027, 126.904591831575)"
188,동강사진박물관,강원도 영월군 영월읍 영월로 1909-10,"(37.1819172451612, 128.461594335706)"
189,김천시립박물관,경상북도 김천시 대항면 직지사길 130,"(36.1170932487458, 128.008180322655)"
190,삼성 교통박물관,경기도 용인시 처인구 포곡읍 에버랜드로376번길 171,"(37.3003722949362, 127.216953757492)"
191,동강생태정보센터,강원도 영월군 영월읍 동강로 716,"(37.2282199587401, 128.505369640866)"
192,한국여인생활사박물관,세종특별시 조치원읍 안터길 107,"(36.6297665812604, 127.28727843941)"
193,동의대학교 박물관,부산광역시 부산진구 엄광로 176,"(35.1443184545334, 129.036309884005)"
194,부산여대차박물관,부산광역시 부산진구 진남로 506,"(35.1692365236515, 129.072055187665)"
195,KT&G상상마당부산미술관,부산광역시 부산진구 서면로 39,"(35.1542714950768, 129.057302821914)"
196,동국대학교경주캠퍼스박물관,경상북도 경주시 동대로 123,"(35.864795280212, 129.191031372845)"
197,동산박물관,충청남도 공주시 반포면 정광터1길 108-8,"(36.4025743177041, 127.232211572595)"
198,마       한       관,전라북도 익산시 금마면 고도9길 41-14,"(36.0015317580866, 127.057070860454)"
199,익산 보석박물관,전라북도 익산시 왕궁면 호반로 8,"(35.9906348937135, 127.102524262956)"
200,동신대학교문화박물관,전라남도 나주시 동신대길 67,"(35.0496248791451, 126.7179925226)"
201,한국등잔박물관,경기도 용인시 처인구 모현읍 능곡로56번길 8,"(37.3365864507027, 127.177880922362)"
202,동아대학교석당박물관,부산광역시 서구 구덕로 225,"(35.1037409887179, 129.019414580951)"
203,정선507미술관,강원도 정선군 정선읍 동강로 2914,"(37.3613679646546, 128.626707345185)"
204,강원랜드뿌리관,강원도 정선군 사북읍 삼삼길 33,"(37.2245365848273, 128.815792198346)"
205,동주대학교 석파박물관,부산광역시 사하구 사리로55번길 16(동주대학교 석파박물관),"(35.1067235698512, 128.997230899793)"
206,전라북도 산림박물관,전라북도 순창군 복흥면 추령로 1777,"(35.4771411497596, 126.925728689557)"
207,전북도립미술관,전라북도 완주군 구이면 모악산길 111-6,"(35.7277055629135, 127.106924483874)"
208,두루뫼사료관,경기도 파주시 법원읍 초리골길 278,"(37.8568024157028, 126.896042393885)"
209,드영미술관,광주광역시 동구 성촌길 6(운림동),"(35.1342978601103, 126.953481487731)"
210,유엔평화관,충청북도 음성군 원남면 행치길 15-5,"(36.8919576427877, 127.664407300722)"
211,소전미술관,전라남도 진도군 진도읍 철마길 29,"(34.486990258451, 126.26461549838)"
212,명지대학교박물관,경기도 용인시 처인구 명지로 116,"(37.2218072639192, 127.190183727516)"
213,땅끝해양자연사박물관,전라남도 해남군 송지면 땅끝마을길 89,"(34.3012909318607, 126.529651606024)"
214,떡박물관,서울특별시 종로구 돈화문로 71,"(37.5748995802783, 126.990638129224)"
215,공립인제내설악미술관,강원도 인제군 북면 예술인촌길 66-27,"(38.1466830850084, 128.252358002618)"
216,록봉민속교육박물관,부산광역시 강서구 가덕해안로 741,"(35.0315296554687, 128.813583372682)"
217,롯데월드민속박물관,서울특별시 송파구 올림픽로 240,"(37.5113096112036, 127.098141751177)"
218,국립국악원 국악박물관,서울특별시 서초구 남부순환로 2364,"(37.4777188083482, 127.009818464555)"
219,공연예술박물관,서울특별시 중구 장충단로 59,"(37.5519949082942, 126.999267349473)"
220,한국영화박물관,서울특별시 마포구 월드컵북로 400,"(37.5806561786855, 126.889839335259)"
221,롯데월드아쿠아리움,서울특별시 송파구 올림픽로300,"(37.5137519612953, 127.104446890835)"
222,석조전 대한제국역사관,서울특별시 중구 세종대로 99,"(37.5660868250943, 126.973725785222)"
223,6.25전쟁체험기념관,강원도 고성군 현내면 통일전망대로 453,"(38.5840815521755, 128.373667504474)"
224,경희대학교혜정박물관,경기도 용인시 기흥구 덕영대로 1732,"(37.2398001522416, 127.081198790803)"
225,국토발전전시관,서울특별시 중구 정동길 18,"(37.5668101785732, 126.9700823803)"
226,국립관세박물관,서울특별시 강남구 언주로 721,"(37.5182831901035, 127.033784715867)"
227,국회 헌정기념관,서울특별시 영등포구 의사당대로 1,"(37.5329119742768, 126.916403869603)"
228,둘리뮤지엄,서울특별시 도봉구 시루봉로 1길 6,"(37.6524298578984, 127.027638500056)"
229,서대문자연사박물관,서울특별시 서대문구 연희로32길 51,"(37.5767519879565, 126.937858169171)"
230,서대문형무소역사관,서울특별시 서대문구 통일로 251,"(37.5746085138333, 126.955611774864)"
231,리각미술관,충청남도 천안시 동남구 태조산길 245,"(36.8201566455094, 127.186286030627)"
232,서울상상나라,서울특별시 광진구 능동로 216,"(37.5520117024951, 127.078772391405)"
233,서울약령시한의약박물관,서울특별시 동대문구 약령중앙로26,"(37.5806004145096, 127.037586644096)"
234,마가미술관,경기도 용인시 처인구 모현읍 문형동림로101번길 37,"(37.3317523197284, 127.192787674373)"
235,단국대학교석주선기념박물관,경기도 용인시 수지구 죽전로 152,"(37.3211938747541, 127.132535935195)"
236,만봉불화박물관,강원도 영월군 김삿갓면 망경대산길 135-3,"(37.1551530128664, 128.608721703745)"
237,암사동선사유적박물관,서울특별시 강동구 올림픽로 875,"(37.5598523707759, 127.130833358875)"
238,종로구립 고희동 미술자료관,서울특별시 종로구 창덕궁5길 40,"(37.5831855099227, 126.988884857967)"
239,만해기념관,경기도 광주시 남한산성면 남한산성로 792번길 24-7,"(37.4773051225771, 127.18083793411)"
240,말박물관,경기도 과천시 경마공원대로 107,"(37.4412157413878, 127.0162939669)"
241,경기여자고등학교 경운박물관,서울특별시 강남구 삼성로 29,"(37.4869571488922, 127.066101597746)"
242,고촌이종근기념관,서울특별시 서대문구 충정로 8,"(37.5596781093752, 126.963201979192)"
243,관문사 성보박물관,서울특별시 서초구 바우뫼로7길111,"(37.4737503294487, 127.022282279515)"
244,맥아트미술관,경기도 안산시 단원구 부흥로 254,"(37.2197545826726, 126.602419117388)"
245,그레뱅뮤지엄,서울특별시 중구 을지로 23,"(37.5662705724756, 126.980394067182)"
246,감귤박물관,제주특별자치도 서귀포시 효돈순환로 441(신효동),"(33.271593041773, 126.607428496419)"
247,근현대디자인박물관,서울특별시 마포구 와우산로 30길 36,"(37.553263664264, 126.929839435682)"
248,기생충박물관,서울특별시 강서구 화곡로 333,"(37.5536201368903, 126.850750096253)"
249,농협 농업박물관,서울특별시 중구 새문안로 16,"(37.5664991184072, 126.968555570622)"
250,명성황후기념관,경기도 여주시 명성로 71,"(37.2596751757372, 127.655428132152)"
251,명인박물관,서울특별시 종로구 북촌로6길 1,"(37.5801665948701, 126.985186258277)"
252,모란미술관,경기도 남양주시 화도읍 경춘로2110번길 8,"(37.6504134997667, 127.323777494812)"
253,모산조형미술관,충청남도 보령시 성주면 성주산로 673-24,"(36.3111838675222, 126.657792412958)"
254,배재학당역사박물관,서울특별시 중구 서소문로 11길 19,"(37.5637878280982, 126.972089131199)"
255,목아박물관,경기도 여주시 강천면 이문안길 21,"(37.2885502741596, 127.688122873951)"
256,목인박물관,서울특별시 종로구 인사동11길 20,"(37.5738689821058, 126.983648761503)"
257,국윤미술관,광주광역시 동구 의재로 82(소태동),"(35.1318923562165, 126.936521091447)"
258,몽양기념관,경기도 양평군 양서면 몽양길 66,"(37.5305170667048, 127.373607041248)"
259,브이센터 더 라이브 뮤지엄,서울특별시 강동구 아리수로61길 103,"(37.5653931322584, 127.147715238632)"
260,무등현대미술관,광주광역시 동구 증심사길 9(운림동),"(35.1341820376796, 126.953724150332)"
261,샬트르 성 바오로 수녀회 역사박물관,서울특별시 중구 명동길 74-2,"(37.5622279915865, 126.987826989047)"
262,서울대학교병원 의학박물관,서울특별시 종로구 대학로 101,"(37.5804523853297, 126.997196437908)"
263,무릉고서화미술박물관,강원도 원주시 흥업면 사제로 399-10,"(37.3252796878779, 127.886559591377)"
264,무안군오승우미술관,전라남도 무안군 삼향읍 초의길 7,"(34.8525919502963, 126.41524317059)"
265,신문박물관 PRESSEUM,서울특별시 종로구 세종대로 152,"(37.5698677620456, 126.977657083792)"
266,아쿠아플라넷63,서울특별시 영등포구 63로 50,"(37.5196641552816, 126.939909338068)"
267,문경도자기박물관,경상북도 문경시 문경읍 문경대로 2416,"(36.7406287100437, 128.084563877922)"
268,남도향토음식박물관,광주광역시 북구 설죽로 477,"(35.2017512637662, 126.898673183064)"
269,우리옛돌박물관,서울특별시 성북구 대사관로 13길 66,"(37.6008969621021, 126.990133889221)"
270,우리은행 은행사박물관,서울특별시 중구 소공로 51(회현동1가),"(37.5594390741134, 126.981750727877)"
