,지점,도로명주소,latlon
234,용인포곡점,경기 용인시 처인구 포곡읍,"(37.2638753, 127.2118611)"
235,의왕역점,경기 의왕시 부곡중앙남1길 2,"(0.0, 0.0)"
236,의왕포일점,경기 의왕시 포일세거리로 10,"(0.0, 0.0)"
237,의정부역점,경기 의정부시 시민로 75,"(37.7344598, 127.0779307)"
238,회룡역점,경기 의정부시 외미로 99,"(37.7246967, 127.0465634)"
239,의정부민락점,경기 의정부시 천보로 56,"(37.7448653, 127.0952365)"
240,홈플러스의정부점,경기 의정부시 청사로 38,"(37.752258, 127.0704484)"
241,의정부금오점,경기 의정부시 청사로 41,"(37.7525297, 127.06993)"
242,의정부대로점,경기 의정부시 평화로 552,"(37.7085691, 127.0480854)"
243,의정부중앙로점,경기 의정부시 행복로 12,"(37.7414716, 127.0497911)"
244,의정부장암점,경기 의정부시 회룡로 178,"(37.72626, 127.05036)"
245,이천하이닉스점,경기 이천시 부발읍 경충대로,"(37.2646739, 127.4657158)"
246,이천중앙로점,경기 이천시 어재연로37번길 16,"(0.0, 0.0)"
247,파주가람점,경기 파주시 가람로 2,"(37.7347471, 126.7575612)"
248,파주야당역점,경기 파주시 경의로 1066,"(37.71233795, 126.7596354)"
249,파주금릉역점,경기 파주시 금릉역로 84,"(0.0, 0.0)"
250,파주당동점,경기 파주시 문산읍 방촌로,"(0.0, 0.0)"
251,파주금촌점,경기 파주시 문화로 109,"(37.7639182, 126.774492)"
252,파주운정점,경기 파주시 미래로 377,"(0.0, 0.0)"
253,파주LCD점,경기 파주시 월롱면 엘씨디로241번길,"(0.0, 0.0)"
254,파주봉일천점,경기 파주시 조리읍 봉천로,"(37.7450832, 126.8042338)"
255,파주교하점,경기 파주시 청석로 260,"(37.7332067, 126.7194411)"
256,홈플러스파주운정점,경기 파주시 청암로17번길 17,"(37.729954, 126.7355105)"
257,뉴코아아울렛평택점,경기 평택시 경기대로 279,"(37.1250623, 127.0662031)"
258,평택소사벌로터리점,경기 평택시 비전5로 16,"(0.0, 0.0)"
259,평택신장점,경기 평택시 쇼핑로 22,"(0.0, 0.0)"
260,평택안중점,경기 평택시 안중읍 안현로서6길,"(36.98483435, 126.9240773)"
261,평택용죽점,경기 평택시 용죽2로 32-50,"(0.0, 0.0)"
262,평택서정점,경기 평택시 정암로 2,"(0.0, 0.0)"
263,평택청북점,경기 평택시 청북읍 안청로,"(37.0183489, 126.915622)"
264,송탄점,경기 평택시 특구로 26,"(0.0, 0.0)"
265,평택소사벌점,경기 평택시 평남로 862,"(0.0, 0.0)"
266,평택비전점,경기 평택시 평남로 937,"(36.9908051, 127.121629)"
267,평택역점,경기 평택시 평택2로10번길 10-3,"(0.0, 0.0)"
268,평택AK역사점,경기 평택시 평택로 51,"(0.0, 0.0)"
269,포천송우리점,경기 포천시 소흘읍 솔모루로,"(0.0, 0.0)"
270,포천신읍점,경기 포천시 중앙로 121,"(0.0, 0.0)"
271,포천중앙점,경기 포천시 893,"(37.8948267, 127.2007295)"
272,하남시청점,경기 하남시 대청로 26,"(0.0, 0.0)"
273,하남풍산점,경기 하남시 덕풍동로 111-15,"(0.0, 0.0)"
274,하남미사점,경기 하남시 미사강변대로 222,"(0.0, 0.0)"
275,하남미사역점,경기 하남시 미사강변동로 95,"(0.0, 0.0)"
276,스타필드하남점,경기 하남시 미사대로 750,"(37.578136, 127.1763184)"
277,하남감일점,경기 하남시 신우실로 61,"(0.0, 0.0)"
278,하남신장점,경기 하남시 신장로 127-1,"(0.0, 0.0)"
279,미사효성점,경기 하남시 아리수로 570,"(37.5666222, 127.1812566)"
280,스타필드시티위례점,경기 하남시 위례대로 200,"(37.5028567, 127.1568601)"
281,홈플러스병점점,경기 화성시 경기대로 985,"(37.1960198, 127.041847)"
282,화성남양점,경기 화성시 남양읍 남양시장로66번길,"(0.0, 0.0)"
283,동탄호수공원점,경기 화성시 동탄대로 181,"(37.1932945, 127.0989825)"
284,동탄역점,경기 화성시 동탄대로 495,"(0.0, 0.0)"
285,동탄디엠시티점,경기 화성시 동탄대로 636-14,"(37.1932945, 127.0989825)"
286,동탄청계점,경기 화성시 동탄대로시범길 134,"(0.0, 0.0)"
287,동탄솔빛점,경기 화성시 동탄솔빛로 51,"(37.193631, 127.072933)"
288,동탄산척점,경기 화성시 동탄순환대로 257,"(37.1871149, 127.1238032)"
289,동탄목동점,경기 화성시 동탄순환대로 400,"(37.1871149, 127.1238032)"
290,동탄영천점,경기 화성시 동탄순환대로 686,"(37.1871149, 127.1238032)"
291,동탄한빛점,경기 화성시 동탄중심상가2길 37,"(37.2065321, 127.0736832)"
292,동탄센트럴파크점,경기 화성시 동탄지성로 102,"(37.2081038, 127.0642147)"
293,동탄능동점,경기 화성시 동탄지성로 201,"(37.2342817, 127.0458428)"
294,병점역점,경기 화성시 병점3로 2,"(37.2101699, 127.04203)"
295,화성봉담점,경기 화성시 봉담읍 동화길,"(0.0, 0.0)"
296,수원대점,경기 화성시 봉담읍 와우안길,"(0.0, 0.0)"
297,화성향남로데오점,경기 화성시 향남읍 발안양감로,"(0.0, 0.0)"
298,화성향남점,경기 화성시 향남읍 행정중앙2로,"(0.0, 0.0)"
299,화성병점점,경기 화성시 효행로 1059,"(37.2136546, 127.0410958)"
300,거제고현점,경남 거제시 거제중앙로 1905,"(34.88809125, 128.622996)"
301,거제수월점,경남 거제시 수양로 471,"(0.0, 0.0)"
302,거제아주점,경남 거제시 아주1로 56,"(34.8664851, 128.686893)"
303,거제옥포점,경남 거제시 옥포대첩로 42-1,"(34.89365245, 128.692333)"
304,디큐브거제점,경남 거제시 장평로 12,"(34.8908789, 128.6165195)"
305,경남거창점,경남 거창군 거창읍 중앙로,"(35.6871831, 127.9132392)"
306,경남고성점,경남 고성군 고성읍 송학로149번길,"(0.0, 0.0)"
307,김해장유부곡점,경남 김해시 능동로 153,"(35.1988031, 128.8032541)"
308,김해장유대청점,경남 김해시 번화1로56번길 19,"(0.0, 0.0)"
309,김해삼계점,경남 김해시 삼계중앙로 47,"(35.2602612, 128.8657065)"
310,김해장유율하점,경남 김해시 율하3로 53,"(35.17282785, 128.8148844)"
311,김해진영점,경남 김해시 진영읍 김해대로361번길,"(35.308627, 128.7296459)"
312,밀양삼문점,경남 밀양시 미리벌중앙로 59,"(35.4831878, 128.7491853)"
313,밀양점,경남 밀양시 석정로 21-1,"(35.491791, 128.7523321)"
314,경남사천점,경남 사천시 정동면 옥산로,"(35.0736572, 128.1037746)"
315,사천벌리점,경남 사천시 주공로 9,"(34.9391902, 128.0861632)"
316,홈플러스진주점,경남 진주시 대신로 304,"(35.18759085, 128.1178043)"
317,진주과기대점,경남 진주시 동진로 25,"(0.0, 0.0)"
318,진주평거점,경남 진주시 순환로 526,"(35.1891992, 128.0549408)"
319,진주중앙점,경남 진주시 12,"(35.1475278, 128.1681621)"
320,갤러리아진주점,경남 진주시 진주대로 1095,"(0.0, 0.0)"
321,경상대점,경남 진주시 진주대로 506,"(35.196716, 128.0551854)"
322,진주초전점,경남 진주시 초전북로52번길 31,"(35.2082294, 128.1130111)"
323,진주혁신도시점,경남 진주시 충의로 20-4,"(35.17630255, 128.1471641)"
